# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             267   N   00000b20   ff5ff06f   00000b22   x17_a7     00001610
             268   N   00000b22   0000a035   00000b16   ---        --------
             273   N   00000b16   0000c791   00000b1a   x15_a5     00000063
             274   N   00000b1a   00f82023   00000b1c   ---        --------
             276   N   00000b1c   00000885   00000b20   ---        --------
             277   N   00000b20   ff5ff06f   00000b22   x17_a7     00001611
             278   N   00000b22   0000a035   00000b16   ---        --------
             283   N   00000b16   0000c791   00000b1a   x15_a5     00000074
             284   N   00000b1a   00f82023   00000b1c   ---        --------
             286   N   00000b1c   00000885   00000b20   ---        --------
             287   N   00000b20   ff5ff06f   00000b22   x17_a7     00001612
             288   N   00000b22   0000a035   00000b16   ---        --------
             293   N   00000b16   0000c791   00000b1a   x15_a5     00000069
             294   N   00000b1a   00f82023   00000b1c   ---        --------
             296   N   00000b1c   00000885   00000b20   ---        --------
             297   N   00000b20   ff5ff06f   00000b22   x17_a7     00001613
             298   N   00000b22   0000a035   00000b16   ---        --------
             303   N   00000b16   0000c791   00000b1a   x15_a5     0000006f
             304   N   00000b1a   00f82023   00000b1c   ---        --------
             306   N   00000b1c   00000885   00000b20   ---        --------
             307   N   00000b20   ff5ff06f   00000b22   x17_a7     00001614
             308   N   00000b22   0000a035   00000b16   ---        --------
             313   N   00000b16   0000c791   00000b1a   x15_a5     0000006e
             314   N   00000b1a   00f82023   00000b1c   ---        --------
             316   N   00000b1c   00000885   00000b20   ---        --------
             317   N   00000b20   ff5ff06f   00000b22   x17_a7     00001615
             318   N   00000b22   0000a035   00000b16   ---        --------
             323   N   00000b16   0000c791   00000b1a   x15_a5     00000021
             324   N   00000b1a   00f82023   00000b1c   ---        --------
             326   N   00000b1c   00000885   00000b20   ---        --------
             327   N   00000b20   ff5ff06f   00000b22   x17_a7     00001616
             328   N   00000b22   0000a035   00000b16   ---        --------
             333   N   00000b16   0000c791   00000b1a   x15_a5     00000000
             334   N   00000b1a   00f82023   00000b26   ---        --------
             337   N   00000b26   000047a1   00000b52   ---        --------
             341   N   00000b52   20230013   000019e0   ---        --------
             344   N   000019e0   71428293   000019e4   x05_t0     fffff9e0
             345   N   000019e4   00008282   000019e8   x05_t0     000000f4
             346   N   000019e8   00000013   000000f4   ---        --------
             349   N   000000f4   0000006f   000000f8   ---        --------
             350   N   000000f8   ffffffff   000000f8   ---        --------
